1, 1, 0, 0.00, 0
1, 2, 4, 9.45, 0
1, 3, 4, 9.30, 0
1, 4, 4, 9.45, 0
1, 5, 0, 9.30, 0
1, 6, 3, 9.00, 0
1, 7, 6, 9.45, 0
2, 1, 0, 0.00, 0
2, 2, 4, 9.30, 0
2, 3, 5, 9.20, 0
2, 4, 3, 9.00, 0
2, 5, 0, 9.45, 0
2, 6, 3, 9.30, 0
2, 7, 7, 9.50, 0
3, 1, 0, 0.00, 0
3, 2, 4, 9.00, 0
3, 3, 3, 9.30, 0
3, 4, 4, 8.45, 0
3, 5, 0, 0.00, 0
3, 6, 3, 9.20, 0
3, 7, 8, 9.45, 0
4, 1, 0, 0.00, 0
4, 2, 6, 9.30, 0
4, 3, 3, 9.00, 0
4, 4, 4, 9.20, 0
4, 5, 0, 0.00, 0
4, 6, 3, 8.45, 0
4, 7, 7, 9.30, 0
5, 1, 0, 0.00, 0
5, 2, 5, 9.45, 0
5, 3, 3, 9.00, 0
5, 4, 5, 9.20, 0
5, 5, 0, 0.00, 0
5, 6, 5, 9.30, 0
5, 7, 9, 9.45, 0
6, 1, 0, 0.00, 0
6, 2, 3, 9.00, 0
6, 3, 3, 8.40, 0
6, 4, 6, 9.00, 0
6, 5, 0, 0.00, 0
6, 6, 5, 9.00, 0
6, 7, 10, 9.45, 0
7, 1, 0, 0.00, 0
7, 2, 5, 9.00, 0
7, 3, 4, 8.30, 0
7, 4, 3, 9.30, 0
7, 5, 0, 0.00, 0
7, 6, 6, 9.00, 0
7, 7, 12, 9.45, 0
8, 1, 0, 0.00, 0
8, 2, 5, 9.00, 0
8, 3, 5, 8.45, 0
8, 4, 8, 9.45, 0
8, 5, 0, 0.00, 0
8, 6, 2, 9.45, 0
8, 7, 0, 0.00, 0
